trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.4, 'e': 0.9200000000000088}",25,0,-12.749536987848048,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
161,False,"{'a': 0.4, 'e': 0.9195000000000089}",30,13,27.805718440844043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.9190000000000089}",25,0,-1.795139439867883,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
163,False,"{'a': 0.4, 'e': 0.918500000000009}",20,0,26.718000155031675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.4, 'e': 0.918000000000009}",25,4,21.63984669782901,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.9175000000000091}",25,6,26.204894990879197,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.9170000000000091}",20,0,20.574735186512036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.4, 'e': 0.9165000000000092}",30,0,36.47014745170159,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.9160000000000093}",25,0,20.416532588916102,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.4, 'e': 0.9155000000000093}",25,0,19.35567285039952,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.4, 'e': 0.9150000000000094}",25,17,-35.858247673109325,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.4, 'e': 0.9145000000000094}",20,10,20.63507727185089,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.9140000000000095}",25,6,24.63280524778822,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.9135000000000095}",25,4,19.538827446956205,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.9130000000000096}",20,10,19.42504365851603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.9125000000000096}",20,0,26.749889416928898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.4, 'e': 0.9120000000000097}",20,0,24.981416500832943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.4, 'e': 0.9115000000000097}",20,0,23.126305107039933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.4, 'e': 0.9110000000000098}",20,6,21.530007319039647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.9105000000000099}",25,0,24.030210892361275,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4, 'e': 0.9100000000000099}",30,0,40.887802279410735,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.4, 'e': 0.90950000000001}",30,19,17.793907885069395,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.90900000000001}",25,0,32.385215606929144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.4, 'e': 0.9085000000000101}",25,0,31.491224505818536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.4, 'e': 0.9080000000000101}",20,15,-30.614801857162924,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
